table_name,column_name,data_type,is_nullable,column_default
categories,id,bigint,NO,null
categories,name,text,NO,null
categories,type,text,NO,null
categories,position,integer,NO,0
categories,active,boolean,NO,true
categories,depends_on_category_id,bigint,YES,null
categories,depends_on_value,text,YES,null
category_options,id,bigint,NO,null
category_options,category_id,bigint,NO,null
category_options,value,text,NO,null
category_options,position,integer,NO,0
category_options,active,boolean,NO,true
order_values,id,bigint,NO,null
order_values,order_id,bigint,NO,null
order_values,category_id,bigint,NO,null
order_values,option_id,bigint,YES,null
order_values,value_text,text,YES,null
orders,id,bigint,NO,null
orders,date,date,NO,null
orders,order_number,text,NO,null
orders,delivery_date,date,YES,null
orders,total_amount,numeric,NO,0
orders,amount_paid,numeric,NO,0
orders,notes,text,YES,null
orders,created_at,timestamp with time zone,NO,now()
orders,updated_at,timestamp with time zone,NO,now()
